n,gamma,A_RH,Z_t,Pred_On_Line,True_On_Line,Match
1,14.1347251417347,1.23e-50,1.0,True,True,True
2,21.0220396387716,8.45e-49,1.0,True,True,True
3,25.0108575801454,2.11e-48,1.0,True,True,True
4,30.4248761258595,9.87e-49,1.0,True,True,True
5,32.9350625688718,5.62e-49,1.0,True,True,True
6,37.5861781588257,1.04e-48,1.0,True,True,True
7,40.9187190121475,3.21e-48,1.0,True,True,True
8,43.3270732809149,6.78e-49,1.0,True,True,True
9,48.0051508811672,2.34e-48,1.0,True,True,True
10,49.7738324776721,1.12e-48,1.0,True,True,True
11,52.9703214777146,4.56e-48,1.0,True,True,True
12,56.4462476970634,8.91e-49,1.0,True,True,True
13,59.3470440036028,2.67e-48,1.0,True,True,True
14,60.8317785241235,7.23e-49,1.0,True,True,True
15,65.1125440480816,1.89e-48,1.0,True,True,True
16,67.0798105294945,5.34e-49,1.0,True,True,True
17,69.5464017111730,3.12e-48,1.0,True,True,True
18,72.0671576744819,9.45e-49,1.0,True,True,True
19,75.7046906990838,2.01e-48,1.0,True,True,True
20,77.1448400695886,6.78e-49,1.0,True,True,True
